time,temperature,cost,edge_cost,travel_cost,delay_cost
794,18.89168765743073,352,53,119,180
795,18.867924528301888,352,53,119,180
796,18.844221105527637,352,53,119,180
797,18.820577164366373,352,53,119,180
798,18.796992481203006,352,53,119,180
799,18.773466833541928,354,110,104,140
800,18.75,354,110,104,140
801,18.726591760299627,349,54,105,190
802,18.703241895261847,349,54,105,190
803,18.679950186799502,349,54,105,190
804,18.65671641791045,349,54,105,190
805,18.633540372670808,349,54,105,190
806,18.610421836228287,350,55,105,190
807,18.587360594795538,350,55,105,190
808,18.564356435643564,350,55,105,190
809,18.54140914709518,350,55,105,190
810,18.51851851851852,360,65,105,190
811,18.49568434032059,360,65,105,190
812,18.472906403940886,360,65,105,190
813,18.45018450184502,360,65,105,190
814,18.42751842751843,360,65,105,190
815,18.404907975460123,360,65,105,190
816,18.38235294117647,360,65,105,190
817,18.359853121175032,360,65,105,190
818,18.337408312958434,360,65,105,190
819,18.315018315018314,360,65,105,190
820,18.29268292682927,360,65,105,190
821,18.270401948842874,360,65,105,190
822,18.248175182481752,360,65,105,190
823,18.226002430133658,360,65,105,190
824,18.203883495145632,360,65,105,190
825,18.181818181818183,360,65,105,190
826,18.159806295399516,360,65,105,190
827,18.137847642079805,360,65,105,190
828,18.115942028985508,364,65,119,180
829,18.094089264173704,382,83,119,180
830,18.072289156626507,382,83,119,180
831,18.050541516245488,425,75,120,230
832,18.028846153846153,425,75,120,230
833,18.007202881152462,419,75,114,230
834,17.985611510791365,397,53,114,230
835,17.964071856287426,397,53,114,230
836,17.942583732057415,397,53,114,230
837,17.921146953405017,397,53,114,230
838,17.899761336515514,397,53,114,230
839,17.878426698450536,397,53,114,230
840,17.857142857142858,397,53,114,230
841,17.8359096313912,383,39,114,230
842,17.81472684085511,383,39,114,230
843,17.793594306049823,383,39,114,230
844,17.77251184834123,383,39,114,230
845,17.75147928994083,383,39,114,230
846,17.73049645390071,377,33,114,230
847,17.70956316410862,377,33,114,230
848,17.68867924528302,420,27,123,270
849,17.6678445229682,420,27,123,270
850,17.647058823529413,423,30,123,270
851,17.626321974148063,423,30,123,270
852,17.6056338028169,399,55,114,230
853,17.584994138335286,399,55,114,230
854,17.56440281030445,399,55,114,230
855,17.54385964912281,369,74,105,190
856,17.523364485981308,369,74,105,190
857,17.50291715285881,369,74,105,190
858,17.482517482517483,369,74,105,190
859,17.462165308498253,369,74,105,190
860,17.441860465116278,369,74,105,190
861,17.421602787456447,369,74,105,190
862,17.40139211136891,369,74,105,190
863,17.381228273464657,409,65,114,230
864,17.36111111111111,409,65,114,230
865,17.341040462427745,409,65,114,230
866,17.321016166281755,409,65,114,230
867,17.301038062283737,409,65,114,230
868,17.28110599078341,409,65,114,230
869,17.26121979286536,409,65,114,230
870,17.24137931034483,409,65,114,230
871,17.22158438576349,409,65,114,230
872,17.201834862385322,409,65,114,230
873,17.18213058419244,425,26,129,270
874,17.162471395881006,425,26,129,270
875,17.142857142857142,425,26,129,270
876,17.123287671232877,403,59,114,230
877,17.10376282782212,419,26,123,270
878,17.084282460136674,377,33,114,230
879,17.064846416382252,420,25,115,280
880,17.045454545454547,420,25,115,280
881,17.0261066969353,420,25,115,280
882,17.006802721088434,420,25,115,280
883,16.987542468856173,420,25,115,280
884,16.968325791855204,420,25,115,280
885,16.949152542372882,429,34,115,280
886,16.93002257336343,429,34,115,280
887,16.910935738444195,429,34,115,280
888,16.89189189189189,429,34,115,280
889,16.87289088863892,383,39,114,230
890,16.853932584269664,383,39,114,230
891,16.835016835016834,383,39,114,230
892,16.816143497757846,383,39,114,230
893,16.7973124300112,383,39,114,230
894,16.778523489932887,383,39,114,230
